hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,306.93912506103516,312.7044439315796,2,0.0,318.469762802124,306.93912506103516,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,318.469762802124,312.7044439315796,2,0.0,318.469762802124,306.93912506103516,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,294.849157333374,288.80250453948975,2,0.0,294.849157333374,282.75585174560547,2
1,tcp,1,10.213.33.33,31.15073,121.47711,10.213.33.33,False,282.75585174560547,288.80250453948975,2,0.0,294.849157333374,282.75585174560547,2
1,icmp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,269.0451145172119,401.5045166015625,2,0.0,533.9639186859131,269.0451145172119,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,533.9639186859131,401.5045166015625,2,0.0,533.9639186859131,269.0451145172119,2
2,udp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,142.13871955871582,275.2164602279663,2,0.0,408.2942008972168,142.13871955871582,2
2,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,408.2942008972168,275.2164602279663,2,0.0,408.2942008972168,142.13871955871582,2
2,tcp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,118.16906929016113,334.1745138168335,2,0.0,550.1799583435059,118.16906929016113,2
2,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,550.1799583435059,334.1745138168335,2,0.0,550.1799583435059,118.16906929016113,2
2,icmp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,93.45173835754395,397.12488651275635,2,0.0,700.7980346679688,93.45173835754395,2
2,icmp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,700.7980346679688,397.12488651275635,2,0.0,700.7980346679688,93.45173835754395,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,9.46497917175293,401.56590938568115,2,0.0,793.6668395996094,9.46497917175293,2
3,udp,1,202.76.18.4,22.2875,114.212,202.76.18.4,False,793.6668395996094,401.56590938568115,2,0.0,793.6668395996094,9.46497917175293,2
3,tcp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,218.45197677612305,556.9485425949097,2,0.0,895.4451084136963,218.45197677612305,2
3,tcp,1,202.76.18.104,22.2875,114.212,202.76.18.104,False,895.4451084136963,556.9485425949097,2,0.0,895.4451084136963,218.45197677612305,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,194.87285614013672,667.9544448852539,2,0.0,1141.036033630371,194.87285614013672,2
3,icmp,1,180.87.160.214,22.3193,114.169,180.87.160.214,False,1141.036033630371,667.9544448852539,2,0.0,1141.036033630371,194.87285614013672,2
