hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,5.517721176147461,53.84230613708496,2,0.0,102.16689109802246,5.517721176147461,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,102.16689109802246,53.84230613708496,2,0.0,102.16689109802246,5.517721176147461,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,91.73989295959473,150.74586868286133,2,0.0,209.75184440612793,91.73989295959473,2
1,tcp,1,10.213.33.25,31.15073,121.47711,10.213.33.25,False,209.75184440612793,150.74586868286133,2,0.0,209.75184440612793,91.73989295959473,2
1,icmp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,66.65182113647461,186.15007400512695,2,0.0,305.6483268737793,66.65182113647461,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,305.6483268737793,186.15007400512695,2,0.0,305.6483268737793,66.65182113647461,2
2,udp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,77.73923873901367,231.2551736831665,2,0.0,384.77110862731934,77.73923873901367,2
2,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,384.77110862731934,231.2551736831665,2,0.0,384.77110862731934,77.73923873901367,2
2,tcp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,54.22711372375488,324.3529796600342,2,0.0,594.4788455963135,54.22711372375488,2
2,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,594.4788455963135,324.3529796600342,2,0.0,594.4788455963135,54.22711372375488,2
2,icmp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,29.86001968383789,361.35101318359375,2,0.0,692.8420066833496,29.86001968383789,2
2,icmp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,692.8420066833496,361.35101318359375,2,0.0,692.8420066833496,29.86001968383789,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,6.193876266479492,472.89788722991943,2,0.0,939.6018981933594,6.193876266479492,2
3,udp,1,202.76.18.64,22.2875,114.212,202.76.18.64,False,939.6018981933594,472.89788722991943,2,0.0,939.6018981933594,6.193876266479492,2
3,tcp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,10.019063949584961,477.48565673828125,2,0.0,944.9522495269775,10.019063949584961,2
3,tcp,1,203.131.241.129,35.6869,139.767,203.131.241.129,False,944.9522495269775,477.48565673828125,2,0.0,944.9522495269775,10.019063949584961,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,163.55609893798828,619.9585199356079,2,0.0,1076.3609409332275,163.55609893798828,2
3,icmp,1,129.250.4.71,22.3089,114.264,129.250.4.71,False,1076.3609409332275,619.9585199356079,2,0.0,1076.3609409332275,163.55609893798828,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,47.11008071899414,664.4725799560547,2,0.0,1281.8350791931152,47.11008071899414,2
4,udp,1,129.250.5.39,22.3089,114.264,129.250.5.39,False,1281.8350791931152,664.4725799560547,2,0.0,1281.8350791931152,47.11008071899414,2
