hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,7.255077362060547,5.730986595153809,2,0.0,7.255077362060547,4.20689582824707,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,4.20689582824707,5.730986595153809,2,0.0,7.255077362060547,4.20689582824707,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,5.514860153198242,80.85036277770996,2,0.0,156.18586540222168,5.514860153198242,2
1,tcp,1,10.213.33.33,31.15073,121.47711,10.213.33.33,False,156.18586540222168,80.85036277770996,2,0.0,156.18586540222168,5.514860153198242,2
1,icmp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,135.7290744781494,283.2646369934082,2,0.0,430.800199508667,135.7290744781494,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,430.800199508667,283.2646369934082,2,0.0,430.800199508667,135.7290744781494,2
2,udp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,28.913021087646484,195.95396518707275,2,0.0,362.994909286499,28.913021087646484,2
2,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,362.994909286499,195.95396518707275,2,0.0,362.994909286499,28.913021087646484,2
2,tcp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,47.453880310058594,297.70195484161377,2,0.0,547.950029373169,47.453880310058594,2
2,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,547.950029373169,297.70195484161377,2,0.0,547.950029373169,47.453880310058594,2
2,icmp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,140.33794403076172,476.8160581588745,2,0.0,813.2941722869873,140.33794403076172,2
2,icmp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,813.2941722869873,476.8160581588745,2,0.0,813.2941722869873,140.33794403076172,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,138.092041015625,440.964937210083,2,0.0,743.837833404541,138.092041015625,2
3,udp,1,202.76.18.60,22.2875,114.212,202.76.18.60,False,743.837833404541,440.964937210083,2,0.0,743.837833404541,138.092041015625,2
3,tcp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,160.29000282287598,754.2300224304199,2,0.0,1348.1700420379639,160.29000282287598,2
3,tcp,1,123.255.91.106,22.4197,114.206,123.255.91.106,False,1348.1700420379639,754.2300224304199,2,0.0,1348.1700420379639,160.29000282287598,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,158.00094604492188,782.607913017273,2,0.0,1407.214879989624,158.00094604492188,2
3,icmp,1,60.56.20.189,34.7615,135.5086,60.56.20.189,False,1407.214879989624,782.607913017273,2,0.0,1407.214879989624,158.00094604492188,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,41.51415824890137,660.0735187530518,2,0.0,1278.6328792572021,41.51415824890137,2
4,udp,1,61.122.241.18,31.15073,121.47711,61.122.241.18,False,1278.6328792572021,660.0735187530518,2,0.0,1278.6328792572021,41.51415824890137,2
4,tcp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,204.95200157165527,761.193037033081,2,0.0,1317.4340724945068,204.95200157165527,2
4,tcp,1,58.191.137.218,31.15073,121.47711,58.191.137.218,False,1317.4340724945068,761.193037033081,2,0.0,1317.4340724945068,204.95200157165527,2
4,icmp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,210.77585220336914,210.77585220336914,1,0.0,210.77585220336914,210.77585220336914,1
5,udp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,81.89272880554199,81.89272880554199,1,0.0,81.89272880554199,81.89272880554199,1
5,tcp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,317.9483413696289,317.9483413696289,1,0.0,317.9483413696289,317.9483413696289,1
5,icmp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,294.3711280822754,294.3711280822754,1,0.0,294.3711280822754,294.3711280822754,1
6,udp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,167.67501831054688,167.67501831054688,1,0.0,167.67501831054688,167.67501831054688,1
6,tcp,0,202.76.18.60,22.2875,114.212,202.76.18.60,False,191.70713424682617,191.70713424682617,1,0.0,191.70713424682617,191.70713424682617,1
6,icmp,0,202.76.18.60,22.2875,114.212,202.76.18.60,False,190.97399711608887,190.97399711608887,1,0.0,190.97399711608887,190.97399711608887,1
7,udp,0,202.76.18.60,22.2875,114.212,202.76.18.60,False,103.93905639648438,103.93905639648438,1,0.0,103.93905639648438,103.93905639648438,1
7,tcp,0,123.255.91.106,22.4197,114.206,123.255.91.106,False,651.5870094299316,651.5870094299316,1,0.0,651.5870094299316,651.5870094299316,1
7,icmp,0,123.255.91.106,22.4197,114.206,123.255.91.106,False,627.0670890808105,627.0670890808105,1,0.0,627.0670890808105,627.0670890808105,1
8,udp,0,123.255.91.106,22.4197,114.206,123.255.91.106,False,496.5088367462158,496.5088367462158,1,0.0,496.5088367462158,496.5088367462158,1
8,tcp,0,60.56.20.197,31.15073,121.47711,60.56.20.197,False,555.8772087097168,555.8772087097168,1,0.0,555.8772087097168,555.8772087097168,1
8,icmp,0,60.56.20.197,31.15073,121.47711,60.56.20.197,False,530.3318500518799,530.3318500518799,1,0.0,530.3318500518799,530.3318500518799,1
