hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,7.8220367431640625,14.170408248901367,2,0.0,20.518779754638672,7.8220367431640625,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,20.518779754638672,14.170408248901367,2,0.0,20.518779754638672,7.8220367431640625,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,5.167961120605469,79.88357543945312,2,0.0,154.59918975830078,5.167961120605469,2
1,tcp,1,10.213.33.33,31.15073,121.47711,10.213.33.33,False,154.59918975830078,79.88357543945312,2,0.0,154.59918975830078,5.167961120605469,2
1,icmp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,131.33621215820312,147.09913730621338,2,0.0,162.86206245422363,131.33621215820312,2
1,icmp,1,10.213.33.33,31.15073,121.47711,10.213.33.33,False,162.86206245422363,147.09913730621338,2,0.0,162.86206245422363,131.33621215820312,2
2,udp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,9.006977081298828,95.28303146362305,2,0.0,181.55908584594727,9.006977081298828,2
2,udp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,181.55908584594727,95.28303146362305,2,0.0,181.55908584594727,9.006977081298828,2
2,tcp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,31.831026077270508,95.17502784729004,2,0.0,158.51902961730957,31.831026077270508,2
2,tcp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,158.51902961730957,95.17502784729004,2,0.0,158.51902961730957,31.831026077270508,2
2,icmp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,6.601095199584961,222.33808040618896,2,0.0,438.07506561279297,6.601095199584961,2
2,icmp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,438.07506561279297,222.33808040618896,2,0.0,438.07506561279297,6.601095199584961,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,6.685018539428711,158.04708003997803,2,0.0,309.40914154052734,6.685018539428711,2
3,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,309.40914154052734,158.04708003997803,2,0.0,309.40914154052734,6.685018539428711,2
3,tcp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,3.3528804779052734,183.36248397827148,2,0.0,363.3720874786377,3.3528804779052734,2
3,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,363.3720874786377,183.36248397827148,2,0.0,363.3720874786377,3.3528804779052734,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,272.7689743041992,306.6229820251465,2,0.0,340.47698974609375,272.7689743041992,2
3,icmp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,340.47698974609375,306.6229820251465,2,0.0,340.47698974609375,272.7689743041992,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,143.54825019836426,270.94006538391113,2,0.0,398.331880569458,143.54825019836426,2
4,udp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,398.331880569458,270.94006538391113,2,0.0,398.331880569458,143.54825019836426,2
4,tcp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,118.97015571594238,246.34909629821777,2,0.0,373.72803688049316,118.97015571594238,2
4,tcp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,373.72803688049316,246.34909629821777,2,0.0,373.72803688049316,118.97015571594238,2
4,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,94.35224533081055,349.2546081542969,2,0.0,604.1569709777832,94.35224533081055,2
4,icmp,1,202.76.18.60,22.2875,114.212,202.76.18.60,False,604.1569709777832,349.2546081542969,2,0.0,604.1569709777832,94.35224533081055,2
5,udp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,34.40117835998535,257.0096254348755,2,0.0,479.6180725097656,34.40117835998535,2
5,udp,1,202.76.18.60,22.2875,114.212,202.76.18.60,False,479.6180725097656,257.0096254348755,2,0.0,479.6180725097656,34.40117835998535,2
5,tcp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,10.565042495727539,272.93944358825684,2,0.0,535.3138446807861,10.565042495727539,2
5,tcp,1,123.255.91.167,22.4197,114.206,123.255.91.167,False,535.3138446807861,272.93944358825684,2,0.0,535.3138446807861,10.565042495727539,2
5,icmp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,9.799003601074219,261.1994743347168,2,0.0,512.5999450683594,9.799003601074219,2
5,icmp,1,123.255.91.167,22.4197,114.206,123.255.91.167,False,512.5999450683594,261.1994743347168,2,0.0,512.5999450683594,9.799003601074219,2
6,udp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,60.74118614196777,315.64950942993164,2,0.0,570.5578327178955,60.74118614196777,2
6,udp,1,192.72.107.153,25.0689,121.591,192.72.107.153,False,570.5578327178955,315.64950942993164,2,0.0,570.5578327178955,60.74118614196777,2
6,tcp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,35.68887710571289,298.8928556442261,2,0.0,562.0968341827393,35.68887710571289,2
6,tcp,1,192.72.124.144,25.0689,121.591,192.72.124.144,False,562.0968341827393,298.8928556442261,2,0.0,562.0968341827393,35.68887710571289,2
6,icmp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,135.71786880493164,484.4299554824829,2,0.0,833.1420421600342,135.71786880493164,2
6,icmp,1,139.175.58.113,25.0501,121.565,139.175.58.113,False,833.1420421600342,484.4299554824829,2,0.0,833.1420421600342,135.71786880493164,2
7,udp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,8.515119552612305,358.52551460266113,2,0.0,708.53590965271,8.515119552612305,2
7,udp,1,192.72.155.194,25.0689,121.591,192.72.155.194,False,708.53590965271,358.52551460266113,2,0.0,708.53590965271,8.515119552612305,2
7,tcp,0,202.76.18.60,22.2875,114.212,202.76.18.60,False,115.43703079223633,441.38848781585693,2,0.0,767.3399448394775,115.43703079223633,2
7,tcp,1,192.72.155.198,25.0689,121.591,192.72.155.198,False,767.3399448394775,441.38848781585693,2,0.0,767.3399448394775,115.43703079223633,2
7,icmp,0,202.76.18.60,22.2875,114.212,202.76.18.60,False,89.98417854309082,89.98417854309082,1,0.0,89.98417854309082,89.98417854309082,1
8,udp,0,123.255.91.167,22.4197,114.206,123.255.91.167,False,34.51967239379883,34.51967239379883,1,0.0,34.51967239379883,34.51967239379883,1
8,tcp,0,123.255.91.167,22.4197,114.206,123.255.91.167,False,13.050079345703125,13.050079345703125,1,0.0,13.050079345703125,13.050079345703125,1
8,icmp,0,123.255.91.167,22.4197,114.206,123.255.91.167,False,10.04481315612793,10.04481315612793,1,0.0,10.04481315612793,10.04481315612793,1
9,udp,0,192.72.107.153,25.0689,121.591,192.72.107.153,False,54.05092239379883,54.05092239379883,1,0.0,54.05092239379883,54.05092239379883,1
9,tcp,0,192.72.107.153,25.0689,121.591,192.72.107.153,False,29.03437614440918,29.03437614440918,1,0.0,29.03437614440918,29.03437614440918,1
9,icmp,0,192.72.107.153,25.0689,121.591,192.72.107.153,False,49.028873443603516,49.028873443603516,1,0.0,49.028873443603516,49.028873443603516,1
10,udp,0,139.175.59.4,25.0501,121.565,139.175.59.4,False,189.1641616821289,189.1641616821289,1,0.0,189.1641616821289,189.1641616821289,1
10,tcp,0,139.175.59.4,25.0501,121.565,139.175.59.4,False,165.43102264404297,165.43102264404297,1,0.0,165.43102264404297,165.43102264404297,1
10,icmp,0,139.175.59.4,25.0501,121.565,139.175.59.4,False,140.75326919555664,140.75326919555664,1,0.0,140.75326919555664,140.75326919555664,1
11,udp,0,139.175.59.4,25.0501,121.565,139.175.59.4,False,10.468721389770508,10.468721389770508,1,0.0,10.468721389770508,10.468721389770508,1
11,tcp,0,192.72.124.101,25.0689,121.591,192.72.124.101,False,18.220186233520508,18.220186233520508,1,0.0,18.220186233520508,18.220186233520508,1
11,icmp,0,192.72.124.101,25.0689,121.591,192.72.124.101,False,45.19510269165039,45.19510269165039,1,0.0,45.19510269165039,45.19510269165039,1
