hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,14.60886001586914,10.38980484008789,2,0.0,14.60886001586914,6.170749664306641,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,6.170749664306641,10.38980484008789,2,0.0,14.60886001586914,6.170749664306641,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,5.113124847412109,83.55844020843506,2,0.0,162.003755569458,5.113124847412109,2
1,tcp,1,10.213.33.33,31.15073,121.47711,10.213.33.33,False,162.003755569458,83.55844020843506,2,0.0,162.003755569458,5.113124847412109,2
1,icmp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,138.106107711792,305.6185245513916,2,0.0,473.1309413909912,138.106107711792,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,473.1309413909912,305.6185245513916,2,0.0,473.1309413909912,138.106107711792,2
2,udp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,29.751062393188477,201.14898681640625,2,0.0,372.546911239624,29.751062393188477,2
2,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,372.546911239624,201.14898681640625,2,0.0,372.546911239624,29.751062393188477,2
2,tcp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,44.37088966369629,298.76744747161865,2,0.0,553.164005279541,44.37088966369629,2
2,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,553.164005279541,298.76744747161865,2,0.0,553.164005279541,44.37088966369629,2
2,icmp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,137.20273971557617,480.0269603729248,2,0.0,822.8511810302734,137.20273971557617,2
2,icmp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,822.8511810302734,480.0269603729248,2,0.0,822.8511810302734,137.20273971557617,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,178.99203300476074,463.68253231048584,2,0.0,748.3730316162109,178.99203300476074,2
3,udp,1,202.76.18.64,22.2875,114.212,202.76.18.64,False,748.3730316162109,463.68253231048584,2,0.0,748.3730316162109,178.99203300476074,2
3,tcp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,158.76412391662598,534.6205234527588,2,0.0,910.4769229888916,158.76412391662598,2
3,tcp,1,203.131.241.129,35.6869,139.767,203.131.241.129,False,910.4769229888916,534.6205234527588,2,0.0,910.4769229888916,158.76412391662598,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,163.44094276428223,692.4475431442261,2,0.0,1221.45414352417,163.44094276428223,2
3,icmp,1,129.250.2.199,22.2678,114.236,129.250.2.199,False,1221.45414352417,692.4475431442261,2,0.0,1221.45414352417,163.44094276428223,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,42.91391372680664,664.4940376281738,2,0.0,1286.074161529541,42.91391372680664,2
4,udp,1,129.250.8.169,22.2678,114.236,129.250.8.169,False,1286.074161529541,664.4940376281738,2,0.0,1286.074161529541,42.91391372680664,2
4,tcp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,212.42117881774902,876.7656087875366,2,0.0,1541.1100387573242,212.42117881774902,2
4,tcp,1,112.174.87.61,37.3654,127.122,112.174.87.61,False,1541.1100387573242,876.7656087875366,2,0.0,1541.1100387573242,212.42117881774902,2
4,icmp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,221.38595581054688,930.7881593704224,2,0.0,1640.1903629302979,221.38595581054688,2
4,icmp,1,112.174.91.241,37.3654,127.122,112.174.91.241,False,1640.1903629302979,930.7881593704224,2,0.0,1640.1903629302979,221.38595581054688,2
5,udp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,90.37280082702637,884.7134113311768,2,0.0,1679.0540218353271,90.37280082702637,2
5,udp,1,112.174.49.190,37.3654,127.122,112.174.49.190,False,1679.0540218353271,884.7134113311768,2,0.0,1679.0540218353271,90.37280082702637,2
5,tcp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,328.1378746032715,328.1378746032715,1,0.0,328.1378746032715,328.1378746032715,1
5,icmp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,303.1349182128906,303.1349182128906,1,0.0,303.1349182128906,303.1349182128906,1
6,udp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,174.23081398010254,174.23081398010254,1,0.0,174.23081398010254,174.23081398010254,1
6,tcp,0,202.76.18.64,22.2875,114.212,202.76.18.64,False,202.8050422668457,202.8050422668457,1,0.0,202.8050422668457,202.8050422668457,1
6,icmp,0,202.76.18.64,22.2875,114.212,202.76.18.64,False,206.58564567565918,206.58564567565918,1,0.0,206.58564567565918,206.58564567565918,1
7,udp,0,202.76.18.64,22.2875,114.212,202.76.18.64,False,79.51784133911133,79.51784133911133,1,0.0,79.51784133911133,79.51784133911133,1
7,tcp,0,203.131.241.129,35.6869,139.767,203.131.241.129,False,215.12603759765625,215.12603759765625,1,0.0,215.12603759765625,215.12603759765625,1
7,icmp,0,203.131.241.129,35.6869,139.767,203.131.241.129,False,205.93595504760742,205.93595504760742,1,0.0,205.93595504760742,205.93595504760742,1
8,udp,0,203.131.241.129,35.6869,139.767,203.131.241.129,False,77.83675193786621,77.83675193786621,1,0.0,77.83675193786621,77.83675193786621,1
8,tcp,0,129.250.4.71,22.3089,114.264,129.250.4.71,False,349.4880199432373,349.4880199432373,1,0.0,349.4880199432373,349.4880199432373,1
8,icmp,0,129.250.2.199,22.2678,114.236,129.250.2.199,False,340.78097343444824,340.78097343444824,1,0.0,340.78097343444824,340.78097343444824,1
9,udp,0,129.250.2.199,22.2678,114.236,129.250.2.199,False,262.79687881469727,262.79687881469727,1,0.0,262.79687881469727,262.79687881469727,1
9,tcp,0,129.250.2.199,22.2678,114.236,129.250.2.199,False,239.67623710632324,239.67623710632324,1,0.0,239.67623710632324,239.67623710632324,1
9,icmp,0,129.250.8.169,22.2678,114.236,129.250.8.169,False,367.8138256072998,367.8138256072998,1,0.0,367.8138256072998,367.8138256072998,1
10,udp,0,129.250.8.169,22.2678,114.236,129.250.8.169,False,239.69101905822754,239.69101905822754,1,0.0,239.69101905822754,239.69101905822754,1
10,tcp,0,129.250.8.169,22.2678,114.236,129.250.8.169,False,226.85694694519043,226.85694694519043,1,0.0,226.85694694519043,226.85694694519043,1
10,icmp,0,112.174.80.1,37.3654,127.122,112.174.80.1,False,467.850923538208,467.850923538208,1,0.0,467.850923538208,467.850923538208,1
11,udp,0,112.174.80.1,37.3654,127.122,112.174.80.1,False,340.015172958374,340.015172958374,1,0.0,340.015172958374,340.015172958374,1
