hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,5.387067794799805,5.245566368103027,2,0.0,5.387067794799805,5.10406494140625,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,5.10406494140625,5.245566368103027,2,0.0,5.387067794799805,5.10406494140625,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,3.542184829711914,127.27916240692139,2,0.0,251.01613998413086,3.542184829711914,2
1,tcp,1,10.213.33.33,31.15073,121.47711,10.213.33.33,False,251.01613998413086,127.27916240692139,2,0.0,251.01613998413086,3.542184829711914,2
1,icmp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,239.00198936462402,297.89650440216064,2,0.0,356.79101943969727,239.00198936462402,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,356.79101943969727,297.89650440216064,2,0.0,356.79101943969727,239.00198936462402,2
2,udp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,110.62216758728027,237.01906204223633,2,0.0,363.4159564971924,110.62216758728027,2
2,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,363.4159564971924,237.01906204223633,2,0.0,363.4159564971924,110.62216758728027,2
2,tcp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,87.84008026123047,437.8805160522461,2,0.0,787.9209518432617,87.84008026123047,2
2,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,787.9209518432617,437.8805160522461,2,0.0,787.9209518432617,87.84008026123047,2
2,icmp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,194.7610378265381,478.98757457733154,2,0.0,763.214111328125,194.7610378265381,2
2,icmp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,763.214111328125,478.98757457733154,2,0.0,763.214111328125,194.7610378265381,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,64.72516059875488,411.344051361084,2,0.0,757.9629421234131,64.72516059875488,2
3,udp,1,202.76.18.64,22.2875,114.212,202.76.18.64,False,757.9629421234131,411.344051361084,2,0.0,757.9629421234131,64.72516059875488,2
3,tcp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,39.5200252532959,507.0919990539551,2,0.0,974.6639728546143,39.5200252532959,2
3,tcp,1,203.131.241.129,35.6869,139.767,203.131.241.129,False,974.6639728546143,507.0919990539551,2,0.0,974.6639728546143,39.5200252532959,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,137.04586029052734,869.6539402008057,2,0.0,1602.262020111084,137.04586029052734,2
3,icmp,1,129.250.2.50,35.694,139.754,129.250.2.50,False,1602.262020111084,869.6539402008057,2,0.0,1602.262020111084,137.04586029052734,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,28.39803695678711,829.9640417098999,2,0.0,1631.5300464630127,28.39803695678711,2
4,udp,1,129.250.5.78,37.3387,-121.885,129.250.5.78,False,1631.5300464630127,829.9640417098999,2,0.0,1631.5300464630127,28.39803695678711,2
4,tcp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,51.54895782470703,933.5075616836548,2,0.0,1815.4661655426025,51.54895782470703,2
4,tcp,1,129.250.5.247,37.3387,-121.885,129.250.5.247,False,1815.4661655426025,933.5075616836548,2,0.0,1815.4661655426025,51.54895782470703,2
4,icmp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,417.4761772155762,1197.5181102752686,2,0.0,1977.560043334961,417.4761772155762,2
4,icmp,1,62.115.12.52,37.2419,-121.782,62.115.12.52,False,1977.560043334961,1197.5181102752686,2,0.0,1977.560043334961,417.4761772155762,2
5,udp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,287.43815422058105,1132.5725317001343,2,0.0,1977.7069091796875,287.43815422058105,2
5,udp,1,62.115.116.41,34.0474,-118.258,62.115.116.41,False,1977.7069091796875,1132.5725317001343,2,0.0,1977.7069091796875,287.43815422058105,2
5,tcp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,263.48304748535156,1276.964545249939,2,0.0,2290.4460430145264,263.48304748535156,2
5,tcp,1,62.115.143.39,34.0479,-118.256,62.115.143.39,False,2290.4460430145264,1276.964545249939,2,0.0,2290.4460430145264,263.48304748535156,2
5,icmp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,238.73019218444824,238.73019218444824,1,0.0,238.73019218444824,238.73019218444824,1
6,udp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,113.4040355682373,113.4040355682373,1,0.0,113.4040355682373,113.4040355682373,1
6,tcp,0,202.76.18.72,22.2875,114.212,202.76.18.72,False,88.88888359069824,88.88888359069824,1,0.0,88.88888359069824,88.88888359069824,1
6,icmp,0,202.76.18.64,22.2875,114.212,202.76.18.64,False,191.70475006103516,191.70475006103516,1,0.0,191.70475006103516,191.70475006103516,1
7,udp,0,202.76.18.64,22.2875,114.212,202.76.18.64,False,61.4771842956543,61.4771842956543,1,0.0,61.4771842956543,61.4771842956543,1
7,tcp,0,202.76.18.64,22.2875,114.212,202.76.18.64,False,69.91696357727051,69.91696357727051,1,0.0,69.91696357727051,69.91696357727051,1
7,icmp,0,203.131.241.129,35.6869,139.767,203.131.241.129,False,254.67991828918457,254.67991828918457,1,0.0,254.67991828918457,254.67991828918457,1
8,udp,0,203.131.241.129,35.6869,139.767,203.131.241.129,False,125.28705596923828,125.28705596923828,1,0.0,125.28705596923828,125.28705596923828,1
8,tcp,0,203.131.241.129,35.6869,139.767,203.131.241.129,False,100.10695457458496,100.10695457458496,1,0.0,100.10695457458496,100.10695457458496,1
8,icmp,0,129.250.4.142,47.6061,-122.333,129.250.4.142,False,873.9941120147705,873.9941120147705,1,0.0,873.9941120147705,873.9941120147705,1
9,udp,0,129.250.4.142,47.6061,-122.333,129.250.4.142,False,744.5502281188965,744.5502281188965,1,0.0,744.5502281188965,744.5502281188965,1
9,tcp,0,129.250.4.142,47.6061,-122.333,129.250.4.142,False,748.8739490509033,748.8739490509033,1,0.0,748.8739490509033,748.8739490509033,1
9,icmp,0,129.250.2.27,47.6061,-122.333,129.250.2.27,False,916.4037704467773,916.4037704467773,1,0.0,916.4037704467773,916.4037704467773,1
10,udp,0,129.250.2.27,47.6061,-122.333,129.250.2.27,False,790.8229827880859,790.8229827880859,1,0.0,790.8229827880859,790.8229827880859,1
10,tcp,0,129.250.2.27,47.6061,-122.333,129.250.2.27,False,765.6261920928955,765.6261920928955,1,0.0,765.6261920928955,765.6261920928955,1
10,icmp,0,62.115.136.126,37.2419,-121.782,62.115.136.126,False,1068.9163208007812,1068.9163208007812,1,0.0,1068.9163208007812,1068.9163208007812,1
11,udp,0,62.115.136.126,37.2419,-121.782,62.115.136.126,False,940.5369758605957,940.5369758605957,1,0.0,940.5369758605957,940.5369758605957,1
11,tcp,0,62.115.136.126,37.2419,-121.782,62.115.136.126,False,925.1573085784912,925.1573085784912,1,0.0,925.1573085784912,925.1573085784912,1
11,icmp,0,62.115.139.107,37.4457,-122.161,62.115.139.107,False,1043.8892841339111,1043.8892841339111,1,0.0,1043.8892841339111,1043.8892841339111,1
