hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,35.82310676574707,29.641032218933105,2,0.0,35.82310676574707,23.45895767211914,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,23.45895767211914,29.641032218933105,2,0.0,35.82310676574707,23.45895767211914,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,10.897159576416016,204.0020227432251,2,0.0,397.1068859100342,10.897159576416016,2
1,tcp,1,10.213.33.25,31.15073,121.47711,10.213.33.25,False,397.1068859100342,204.0020227432251,2,0.0,397.1068859100342,10.897159576416016,2
1,icmp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,374.39489364624023,379.61578369140625,2,0.0,384.83667373657227,374.39489364624023,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,384.83667373657227,379.61578369140625,2,0.0,384.83667373657227,374.39489364624023,2
2,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,245.99194526672363,252.26962566375732,2,0.0,258.547306060791,245.99194526672363,2
2,udp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,258.547306060791,252.26962566375732,2,0.0,258.547306060791,245.99194526672363,2
2,tcp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,223.25611114501953,228.39045524597168,2,0.0,233.52479934692383,223.25611114501953,2
2,tcp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,233.52479934692383,228.39045524597168,2,0.0,233.52479934692383,223.25611114501953,2
2,icmp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,212.18085289001465,252.0209550857544,2,0.0,291.86105728149414,212.18085289001465,2
2,icmp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,291.86105728149414,252.0209550857544,2,0.0,291.86105728149414,212.18085289001465,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,83.9848518371582,241.5839433670044,2,0.0,399.1830348968506,83.9848518371582,2
3,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,399.1830348968506,241.5839433670044,2,0.0,399.1830348968506,83.9848518371582,2
3,tcp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,60.78505516052246,248.07989597320557,2,0.0,435.3747367858887,60.78505516052246,2
3,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,435.3747367858887,248.07989597320557,2,0.0,435.3747367858887,60.78505516052246,2
3,icmp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,38.06018829345703,225.58557987213135,2,0.0,413.11097145080566,38.06018829345703,2
3,icmp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,413.11097145080566,225.58557987213135,2,0.0,413.11097145080566,38.06018829345703,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,6.312847137451172,200.41799545288086,2,0.0,394.52314376831055,6.312847137451172,2
4,udp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,394.52314376831055,200.41799545288086,2,0.0,394.52314376831055,6.312847137451172,2
4,tcp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,211.52472496032715,290.52042961120605,2,0.0,369.51613426208496,211.52472496032715,2
4,tcp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,369.51613426208496,290.52042961120605,2,0.0,369.51613426208496,211.52472496032715,2
4,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,187.27707862854004,341.4614200592041,2,0.0,495.64576148986816,187.27707862854004,2
4,icmp,1,202.76.18.64,22.2875,114.212,202.76.18.64,False,495.64576148986816,341.4614200592041,2,0.0,495.64576148986816,187.27707862854004,2
5,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,57.73591995239258,222.92792797088623,2,0.0,388.1199359893799,57.73591995239258,2
