hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,23.492097854614258,74.02098178863525,2,0.0,124.54986572265625,23.492097854614258,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,124.54986572265625,74.02098178863525,2,0.0,124.54986572265625,23.492097854614258,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,112.22600936889648,135.47301292419434,2,0.0,158.7200164794922,112.22600936889648,2
1,tcp,1,10.213.33.25,31.15073,121.47711,10.213.33.25,False,158.7200164794922,135.47301292419434,2,0.0,158.7200164794922,112.22600936889648,2
1,icmp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,89.06698226928711,201.23696327209473,2,0.0,313.40694427490234,89.06698226928711,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,313.40694427490234,201.23696327209473,2,0.0,313.40694427490234,89.06698226928711,2
2,udp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,8.031845092773438,241.71650409698486,2,0.0,475.4011631011963,8.031845092773438,2
2,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,475.4011631011963,241.71650409698486,2,0.0,475.4011631011963,8.031845092773438,2
2,tcp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,20.921945571899414,287.82451152801514,2,0.0,554.7270774841309,20.921945571899414,2
2,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,554.7270774841309,287.82451152801514,2,0.0,554.7270774841309,20.921945571899414,2
2,icmp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,145.3421115875244,480.6746244430542,2,0.0,816.007137298584,145.3421115875244,2
2,icmp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,816.007137298584,480.6746244430542,2,0.0,816.007137298584,145.3421115875244,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,28.92899513244629,424.13949966430664,2,0.0,819.350004196167,28.92899513244629,2
3,udp,1,202.76.18.60,22.2875,114.212,202.76.18.60,False,819.350004196167,424.13949966430664,2,0.0,819.350004196167,28.92899513244629,2
3,tcp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,284.92283821105957,940.869927406311,2,0.0,1596.8170166015625,284.92283821105957,2
3,tcp,1,184.104.194.21,47.6143,-122.339,184.104.194.21,False,1596.8170166015625,940.869927406311,2,0.0,1596.8170166015625,284.92283821105957,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,259.73987579345703,1198.290467262268,2,0.0,2136.841058731079,259.73987579345703,2
3,icmp,1,206.126.237.123,37.5277,-122.262,206.126.237.123,False,2136.841058731079,1198.290467262268,2,0.0,2136.841058731079,259.73987579345703,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,130.3272247314453,1193.486213684082,2,0.0,2256.6452026367188,130.3272247314453,2
4,udp,1,200.16.69.3,26.345,-80.0882,200.16.69.3,False,2256.6452026367188,1193.486213684082,2,0.0,2256.6452026367188,130.3272247314453,2
4,tcp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,208.6620330810547,1395.6499099731445,2,0.0,2582.6377868652344,208.6620330810547,2
4,tcp,1,200.16.69.45,26.345,-80.0882,200.16.69.45,False,2582.6377868652344,1395.6499099731445,2,0.0,2582.6377868652344,208.6620330810547,2
