hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,4.445791244506836,4.403471946716309,2,0.0,4.445791244506836,4.361152648925781,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,4.361152648925781,4.403471946716309,2,0.0,4.445791244506836,4.361152648925781,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,4.374027252197266,110.42940616607666,2,0.0,216.48478507995605,4.374027252197266,2
1,tcp,1,10.213.33.25,31.15073,121.47711,10.213.33.25,False,216.48478507995605,110.42940616607666,2,0.0,216.48478507995605,4.374027252197266,2
1,icmp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,22.43971824645996,164.8932695388794,2,0.0,307.3468208312988,22.43971824645996,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,307.3468208312988,164.8932695388794,2,0.0,307.3468208312988,22.43971824645996,2
2,udp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,76.76100730895996,216.76552295684814,2,0.0,356.7700386047363,76.76100730895996,2
2,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,356.7700386047363,216.76552295684814,2,0.0,356.7700386047363,76.76100730895996,2
2,tcp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,53.926944732666016,327.3264169692993,2,0.0,600.7258892059326,53.926944732666016,2
2,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,600.7258892059326,327.3264169692993,2,0.0,600.7258892059326,53.926944732666016,2
2,icmp,0,10.213.33.33,31.15073,121.47711,10.213.33.33,False,28.841018676757812,358.4179878234863,2,0.0,687.9949569702148,28.841018676757812,2
2,icmp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,687.9949569702148,358.4179878234863,2,0.0,687.9949569702148,28.841018676757812,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,5.873203277587891,389.0446424484253,2,0.0,772.2160816192627,5.873203277587891,2
3,udp,1,202.76.18.64,22.2875,114.212,202.76.18.64,False,772.2160816192627,389.0446424484253,2,0.0,772.2160816192627,5.873203277587891,2
3,tcp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,5.55109977722168,476.35698318481445,2,0.0,947.1628665924072,5.55109977722168,2
3,tcp,1,203.131.241.129,35.6869,139.767,203.131.241.129,False,947.1628665924072,476.35698318481445,2,0.0,947.1628665924072,5.55109977722168,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,134.37318801879883,595.6660509109497,2,0.0,1056.9589138031006,134.37318801879883,2
3,icmp,1,129.250.4.71,22.3089,114.264,129.250.4.71,False,1056.9589138031006,595.6660509109497,2,0.0,1056.9589138031006,134.37318801879883,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,119.92406845092773,864.1700744628906,2,0.0,1608.4160804748535,119.92406845092773,2
4,udp,1,129.250.5.78,37.3387,-121.885,129.250.5.78,False,1608.4160804748535,864.1700744628906,2,0.0,1608.4160804748535,119.92406845092773,2
4,tcp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,96.74715995788574,942.2485828399658,2,0.0,1787.750005722046,96.74715995788574,2
4,tcp,1,129.250.5.247,37.3387,-121.885,129.250.5.247,False,1787.750005722046,942.2485828399658,2,0.0,1787.750005722046,96.74715995788574,2
4,icmp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,238.05999755859375,1094.4138765335083,2,0.0,1950.7677555084229,238.05999755859375,2
4,icmp,1,129.250.9.185,37.3387,-121.885,129.250.9.185,False,1950.7677555084229,1094.4138765335083,2,0.0,1950.7677555084229,238.05999755859375,2
5,udp,0,203.85.128.94,22.2875,114.212,203.85.128.94,False,110.31198501586914,1067.924976348877,2,0.0,2025.5379676818848,110.31198501586914,2
5,udp,1,32.130.91.80,32.7796,-96.7989,32.130.91.80,False,2025.5379676818848,1067.924976348877,2,0.0,2025.5379676818848,110.31198501586914,2
