hop,protocol,probe_index,ip,latitude,longitude,from,reached,rtt,stats_avg,stats_count,stats_loss,stats_max,stats_min,stats_responses
1,udp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,4.925012588500977,5.1010847091674805,2,0.0,5.277156829833984,4.925012588500977,2
1,udp,1,10.209.64.1,31.15073,121.47711,10.209.64.1,False,5.277156829833984,5.1010847091674805,2,0.0,5.277156829833984,4.925012588500977,2
1,tcp,0,10.209.64.1,31.15073,121.47711,10.209.64.1,False,5.095243453979492,81.20262622833252,2,0.0,157.31000900268555,5.095243453979492,2
1,tcp,1,10.213.33.33,31.15073,121.47711,10.213.33.33,False,157.31000900268555,81.20262622833252,2,0.0,157.31000900268555,5.095243453979492,2
1,icmp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,139.8780345916748,265.8735513687134,2,0.0,391.86906814575195,139.8780345916748,2
1,icmp,1,10.213.32.41,31.15073,121.47711,10.213.32.41,False,391.86906814575195,265.8735513687134,2,0.0,391.86906814575195,139.8780345916748,2
2,udp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,143.01013946533203,250.03564357757568,2,0.0,357.06114768981934,143.01013946533203,2
2,udp,1,10.213.32.22,31.15073,121.47711,10.213.32.22,False,357.06114768981934,250.03564357757568,2,0.0,357.06114768981934,143.01013946533203,2
2,tcp,0,10.213.33.25,31.15073,121.47711,10.213.33.25,False,117.97928810119629,344.79260444641113,2,0.0,571.605920791626,117.97928810119629,2
2,tcp,1,203.85.128.94,22.2875,114.212,203.85.128.94,False,571.605920791626,344.79260444641113,2,0.0,571.605920791626,117.97928810119629,2
2,icmp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,225.35419464111328,502.5986433029175,2,0.0,779.8430919647217,225.35419464111328,2
2,icmp,1,202.76.18.72,22.2875,114.212,202.76.18.72,False,779.8430919647217,502.5986433029175,2,0.0,779.8430919647217,225.35419464111328,2
3,udp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,97.63288497924805,420.55702209472656,2,0.0,743.4811592102051,97.63288497924805,2
3,udp,1,202.76.18.60,22.2875,114.212,202.76.18.60,False,743.4811592102051,420.55702209472656,2,0.0,743.4811592102051,97.63288497924805,2
3,tcp,0,10.213.32.41,31.15073,121.47711,10.213.32.41,False,75.09613037109375,526.360034942627,2,0.0,977.6239395141602,75.09613037109375,2
3,tcp,1,123.255.90.14,22.4197,114.206,123.255.90.14,False,977.6239395141602,526.360034942627,2,0.0,977.6239395141602,75.09613037109375,2
3,icmp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,133.8968276977539,756.245493888855,2,0.0,1378.594160079956,133.8968276977539,2
3,icmp,1,202.84.140.2,31.15073,121.47711,202.84.140.2,False,1378.594160079956,756.245493888855,2,0.0,1378.594160079956,133.8968276977539,2
4,udp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,31.04710578918457,857.3939800262451,2,0.0,1683.7408542633057,31.04710578918457,2
4,udp,1,202.84.143.205,31.15073,121.47711,202.84.143.205,False,1683.7408542633057,857.3939800262451,2,0.0,1683.7408542633057,31.04710578918457,2
4,tcp,0,10.213.32.22,31.15073,121.47711,10.213.32.22,False,17.954111099243164,1008.3290338516235,2,0.0,1998.703956604004,17.954111099243164,2
4,tcp,1,202.84.143.205,31.15073,121.47711,202.84.143.205,False,1998.703956604004,1008.3290338516235,2,0.0,1998.703956604004,17.954111099243164,2
