ip,latitude,longitude
10.209.64.1,31.15073,121.47711
10.213.33.25,31.15073,121.47711
10.213.32.41,31.15073,121.47711
10.213.32.22,31.15073,121.47711
203.85.128.94,22.2875,114.212
202.76.18.64,22.2875,114.212
202.76.18.72,22.2875,114.212
203.131.241.129,35.6869,139.767
129.250.2.50,35.694,139.754
129.250.5.78,37.3387,-121.885
129.250.5.227,37.3387,-121.885
50.208.234.9,32.2699,-110.9853
96.110.47.85,45.5152,-122.678
96.110.43.134,41.8528,-87.6232
69.139.182.138,28.0186,-82.1129
68.87.162.38,27.6386,-80.3973
69.139.183.126,26.2379,-80.1248
96.110.5.238,25.8576,-80.2781
162.151.115.26,26.4605,-80.1376
