ip,latitude,longitude
10.209.64.1,31.15073,121.47711
10.213.33.25,31.15073,121.47711
10.213.32.41,31.15073,121.47711
10.213.32.22,31.15073,121.47711
203.85.128.94,22.2875,114.212
202.76.18.72,22.2875,114.212
202.76.18.64,22.2875,114.212
203.131.241.129,35.6869,139.767
129.250.5.39,22.3089,114.264
4.68.75.93,32.5891,-92.0664
4.69.206.174,32.7767,-96.797
8.245.4.82,1.35208,103.82
163.139.136.28,35.6837,139.6805
163.139.136.18,35.6837,139.6805
163.139.38.18,35.6906,139.77
163.139.77.154,35.6906,139.77
133.149.222.35,35.6837,139.6805
133.149.222.57,35.6837,139.6805
