ip,latitude,longitude
10.209.64.1,31.15073,121.47711
10.213.33.33,31.15073,121.47711
10.213.32.41,31.15073,121.47711
10.213.32.22,31.15073,121.47711
203.85.128.94,22.2875,114.212
202.76.18.72,22.2875,114.212
202.76.18.64,22.2875,114.212
203.131.241.129,35.6869,139.767
129.250.5.78,37.3387,-121.885
129.250.5.227,37.3387,-121.885
50.208.234.9,32.2699,-110.9853
96.110.33.45,34.0522,-118.244
68.86.93.254,47.6062,-122.332
96.108.99.246,38.1558,-121.691
162.151.79.158,37.3541,-121.955
96.216.155.134,37.6688,-122.081
