ip,latitude,longitude
10.209.64.1,31.15073,121.47711
10.213.33.33,31.15073,121.47711
10.213.32.41,31.15073,121.47711
10.213.32.22,31.15073,121.47711
203.85.128.94,22.2875,114.212
202.76.18.72,22.2875,114.212
202.76.18.64,22.2875,114.212
203.131.241.129,35.6869,139.767
129.250.5.78,37.3387,-121.885
129.250.5.227,37.3387,-121.885
50.208.234.9,32.2699,-110.9853
96.110.39.101,39.7523,-104.984
96.110.40.102,33.9526,-84.5499
69.139.176.210,45.0061,-93.1566
68.86.232.206,44.8908,-93.3202
68.87.175.14,44.9212,-93.4688
24.124.172.182,44.8908,-93.3202
